"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3908","has title","chrome","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","12216","@regression | Calculate cart total","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","5363","@sanity | Login fails with invalid password","chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","8166","get started link","mobile-safari","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5658","@regression | Remove item from cart","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","9911","Get all product names","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","16541","@smoke | View cart with items","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","5386","@regression | Add multiple products to cart","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4708","@smoke | View cart with items","chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","5489","@regression | Add single product to cart","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5094","Proceed to checkout from cart","chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","5435","@regression | Calculate cart total","chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","21020","Continue shopping from cart","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","6910","has title","webkit","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","17735","Proceed to checkout from cart","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","13270","@regression | Add multiple products to cart","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","3399","Navigate to cart from inventory","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","12244","Continue shopping from cart","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","14255","@regression | Complete checkout flow","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","13293","@smoke @sanity | Successful login with valid credentials","webkit","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","14467","@smoke | View cart with items","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","4549","@sanity | Login fails with invalid password","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","37581","Complete end-to-end purchase of two items","webkit","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","6116","@smoke | Navigate to inventory when already authenticated","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","8367","Login page displays required elements","webkit","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","17702","Continue shopping from cart","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","20502","@regression | Complete checkout flow","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","13034","Navigate to cart from inventory","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","6006","get started link","chrome","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5366","Proceed to checkout from cart","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","9112","@sanity | Login fails with invalid password","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","3907","Navigate to cart from inventory","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5611","@sanity | Login fails with locked out user","chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","5583","has title","mobile-safari","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","3371","has title","mobile-chrome","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","15386","@regression | Add multiple products to cart","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5371","Login page displays required elements","chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","21511","@regression | Remove item from cart","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","6558","Navigate to cart from inventory","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4506","@smoke | View cart with items","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","33210","@smoke | Navigate to inventory when already authenticated","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","18394","@regression | Remove item from cart","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","12375","Complete end-to-end purchase of two items","chrome","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","12159","Navigate to cart from inventory","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5209","@regression | Remove item from cart","chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","5834","Continue shopping from cart","chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","15636","has title","firefox","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","4161","Continue shopping from cart","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","12535","@sanity | Login fails with invalid password","webkit","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","10077","Verify cart is empty before starting","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","25449","@sanity | Login fails with locked out user","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","22513","Complete end-to-end purchase of two items","mobile-safari","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","5392","@regression | Calculate cart total","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","12585","Proceed to checkout from cart","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","17936","@regression | Complete checkout flow","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","5437","Verify cart is empty before starting","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","4139","Get all product names","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","20311","@regression | Calculate cart total","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","9707","Complete end-to-end purchase of two items","mobile-chrome","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","3769","get started link","mobile-chrome","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5714","@regression | Add products from authenticated state","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","13319","@regression | Remove item from cart","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","14292","@regression | Add single product to cart","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","20736","@sanity | Login fails with invalid password","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","11200","@regression | Add products from authenticated state","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","4273","@regression | Add single product to cart","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","6886","Login page displays required elements","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","3947","@regression | Complete checkout flow","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","10419","@regression | Add single product to cart","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","25777","Complete end-to-end purchase of two items","firefox","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","9395","@smoke | Display all inventory items","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","8932","@sanity | Login fails with locked out user","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","10697","Verify cart is empty before starting","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","2894","@smoke | Navigate to inventory when already authenticated","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","11109","get started link","webkit","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","6321","@smoke | Display all inventory items","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","7047","Verify cart is empty before starting","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","12662","@sanity | Login fails with locked out user","webkit","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","15511","@regression | Calculate cart total","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","4441","@smoke @sanity | Successful login with valid credentials","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","9162","@smoke @sanity | Successful login with valid credentials","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","10619","@regression | Add multiple products to cart","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","16074","@regression | Add products from authenticated state","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","5537","@sanity | Login fails with locked out user","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","16387","@smoke | Display all inventory items","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","21473","Proceed to checkout from cart","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","8013","Get all product names","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5948","@smoke @sanity | Successful login with valid credentials","chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","11003","@smoke | Display all inventory items","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4682","@regression | Add multiple products to cart","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","8402","@smoke | Navigate to inventory when already authenticated","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","16650","get started link","firefox","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5018","Verify cart is empty before starting","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","11747","@smoke | View cart with items","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","10105","Get all product names","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","16703","@regression | Add single product to cart","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4532","Login page displays required elements","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","4734","@smoke | Display all inventory items","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","11172","@smoke | Navigate to inventory when already authenticated","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","12222","@regression | Add products from authenticated state","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","3640","Get all product names","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","6169","@regression | Complete checkout flow","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","15515","@smoke @sanity | Successful login with valid credentials","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","35848","Login page displays required elements","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","4350","@regression | Add products from authenticated state","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
